RK,PLAYER NAME,TEAM,OPP,MATCHUP ,START/SIT,PROJ. FPTS
1,Kyler Murray,ARI,vs. BUF,4 out of 5 stars,A+,24.2
2,Josh Allen,BUF,at ARI,4 out of 5 stars,A,23.1
3,Aaron Rodgers,GB,vs. JAC,5 out of 5 stars,A,22.7
4,Russell Wilson,SEA,at LAR,2 out of 5 stars,A,22.2
5,Deshaun Watson,HOU,at CLE,3 out of 5 stars,A,21.9
6,Justin Herbert,LAC,at MIA,2 out of 5 stars,B+,21.5
7,Lamar Jackson,BAL,at NE,1 out of 5 stars,B+,21.1
8,Tom Brady,TB,at CAR,1 out of 5 stars,B,20.5
9,Carson Wentz,PHI,at NYG,4 out of 5 stars,B,20
10,Jared Goff,LAR,vs. SEA,5 out of 5 stars,B,19.5
11,Drew Brees,NO,vs. SF,3 out of 5 stars,B-,19.1
12,Ben Roethlisberger,PIT,vs. CIN,4 out of 5 stars,C+,18.5
13,Ryan Tannehill,TEN,vs. IND,2 out of 5 stars,C,18.2
14,Baker Mayfield,CLE,vs. HOU,4 out of 5 stars,C,17.9
15,Tua Tagovailoa,MIA,vs. LAC,4 out of 5 stars,C,17.6
16,Derek Carr,LV,vs. DEN,4 out of 5 stars,C,17.3
17,Joe Burrow,CIN,at PIT,1 out of 5 stars,C-,17.2
18,Drew Lock,DEN,at LV,3 out of 5 stars,C-,17
19,Cam Newton,NE,vs. BAL,3 out of 5 stars,D,16.9
20,Daniel Jones,NYG,vs. PHI,4 out of 5 stars,D,16.7
21,Teddy Bridgewater,CAR,vs. TB,2 out of 5 stars,D,16.6
22,Matthew Stafford,DET,vs. WAS,3 out of 5 stars,D,16.4
23,Philip Rivers,IND,at TEN,5 out of 5 stars,D-,16.2
24,Nick Foles,CHI,vs. MIN,3 out of 5 stars,F,16
25,Jake Luton,JAC,at GB,2 out of 5 stars,F,15.7
26,Alex Smith,WAS,at DET,4 out of 5 stars,F,15.4
27,Kirk Cousins,MIN,at CHI,1 out of 5 stars,F,15.2
28,Nick Mullens,SF,at NO,4 out of 5 stars,F,14.9
29,Taysom Hill,NO,vs. SF,3 out of 5 stars,F,14.4
30,C.J. Beathard,SF,at NO,4 out of 5 stars,F,13.6
31,Jarrett Stidham,NE,vs. BAL,3 out of 5 stars,F,12.5
32,Chase Daniel,DET,vs. WAS,3 out of 5 stars,F,11
33,Jalen Hurts,PHI,at NYG,4 out of 5 stars,F,9.5
34,Mike Glennon,JAC,at GB,2 out of 5 stars,F,7.6
35,Mason Rudolph,PIT,vs. CIN,4 out of 5 stars,F,6.5
36,Jacoby Brissett,IND,at TEN,5 out of 5 stars,F,1.8
37,Dwayne Haskins,WAS,at DET,4 out of 5 stars,F,1.7
38,Brett Rypien,DEN,at LV,3 out of 5 stars,F,1
39,Jameis Winston,NO,vs. SF,3 out of 5 stars,F,1
